Year,East Asia Pacific,South Asia,Sub-Saharan Africa,Europe and Central Asia,Latin America and Caribbean,Middle East and North Africa,North America
1900,547393877,350540135,117163110,436414138,64998422,43208508,84175306
1910,594753596,372023967,119260854,474222906,77591234,48649217,102862278
1920,659157743,387704221,123915343,489229454,91168073,50825892,119836619
1930,704201243,421263525,139829253,526240276,109797863,59157994,138303285
1940,766747939,478642028,158139339,566374526,131946987,68794014,150046759
1950,839528911,458522196,183346136,595402538,167799438,82886853,162061788
1960,1021442216,571192447,227950604,665942434,219080863,105831537,194139982
1970,1280165750,720399239,293905696,736196696,285722835,138875639,221814953
1980,1540177846,904993069,388784611,791447004,361441805,187358958,247705111
1990,1817430613,1141312743,516663000,841398939,441491220,256504952,275798424
2000,2026416405,1406945514,671240707,861118777,521273687,321092415,313143266
2010,2196097404,1660546166,879833244,887745611,589276426,397912829,345209730
2020,2352370407,1882327653,1151341133,920690065,650518373,479725242,373894771
